iter	Passed	Remaining
0	4	2150
1	8	1937
2	13	2092
3	17	2049
4	20	1912
5	23	1811
6	26	1746
7	29	1689
8	31	1629
9	34	1571
10	36	1535
11	39	1509
12	42	1483
13	44	1458
14	46	1425
15	49	1394
16	51	1380
17	53	1354
18	56	1339
19	58	1325
20	61	1310
21	63	1299
22	66	1290
23	68	1277
24	71	1269
25	73	1261
26	76	1255
27	79	1248
28	81	1236
29	83	1229
30	86	1228
31	88	1217
32	91	1215
33	94	1214
34	96	1204
35	99	1199
36	101	1193
37	104	1189
38	107	1183
39	109	1178
40	112	1173
41	114	1168
42	117	1163
43	119	1159
44	122	1155
45	124	1148
46	126	1141
47	129	1135
48	131	1131
49	134	1127
50	136	1122
51	139	1118
52	141	1113
53	143	1108
54	146	1101
55	148	1097
56	150	1093
57	153	1087
58	155	1083
59	157	1077
60	159	1071
61	162	1066
62	164	1061
63	166	1058
64	169	1054
65	171	1049
66	173	1043
67	175	1039
68	178	1035
69	180	1029
70	182	1025
71	184	1021
72	186	1016
73	189	1012
74	191	1007
75	193	1001
76	195	997
77	197	994
78	200	992
79	202	985
80	205	984
81	207	982
82	210	979
83	212	976
84	214	972
85	217	969
86	220	969
87	222	965
88	224	959
89	225	954
90	228	950
91	230	947
92	232	943
93	234	938
94	236	933
95	238	930
96	241	928
97	243	924
98	245	920
99	247	916
100	250	913
101	252	909
102	253	903
103	255	900
104	258	897
105	260	893
106	262	890
107	264	885
108	266	881
109	268	879
110	270	876
111	273	874
112	275	870
113	277	867
114	280	864
115	282	861
116	284	858
117	286	855
118	288	851
119	290	848
120	292	844
121	295	841
122	297	838
123	298	834
124	301	830
125	302	827
126	305	824
127	307	822
128	309	819
129	311	815
130	314	813
131	316	810
132	318	807
133	320	803
134	323	803
135	326	801
136	328	798
137	330	794
138	332	792
139	335	789
140	336	786
141	339	784
142	342	782
143	343	778
144	345	775
145	348	774
146	350	771
147	352	767
148	355	765
149	357	762
150	359	759
151	361	755
152	363	753
153	366	751
154	368	748
155	370	746
156	372	742
157	375	740
158	377	737
159	379	734
160	381	731
161	383	728
162	385	725
163	387	722
164	389	720
165	392	718
166	393	714
167	396	712
168	398	709
169	400	706
170	402	703
171	404	701
172	406	697
173	408	694
174	410	691
175	412	688
176	414	686
177	417	685
178	420	683
179	422	680
180	424	677
181	426	674
182	428	671
183	430	668
184	432	666
185	434	663
186	437	662
187	439	659
188	441	656
189	443	654
190	446	651
191	448	649
192	450	646
193	452	643
194	454	640
195	456	638
196	458	636
197	461	633
198	462	630
199	464	627
200	466	624
201	468	621
202	470	618
203	472	616
204	474	613
205	476	610
206	478	608
207	481	606
208	482	603
209	485	600
210	487	598
211	489	595
212	491	593
213	493	590
214	495	587
215	497	584
216	499	582
217	501	580
218	503	577
219	506	575
220	508	572
221	509	569
222	511	566
223	513	564
224	515	561
225	518	559
226	520	557
227	522	554
228	524	552
229	526	549
230	529	547
231	531	545
232	533	542
233	535	539
234	537	537
235	539	534
236	541	532
237	543	529
238	545	527
239	547	524
240	549	522
241	551	519
242	553	516
243	555	514
244	556	511
245	558	508
246	560	506
247	563	504
248	565	501
249	567	499
250	569	496
251	572	494
252	573	492
253	575	489
254	577	487
255	579	484
256	581	482
257	583	479
258	586	477
259	588	474
260	590	472
261	592	470
262	594	468
263	597	465
264	599	463
265	602	461
266	603	459
267	605	456
268	608	454
269	610	452
270	612	449
271	614	447
272	617	445
273	619	443
274	621	440
275	623	438
276	626	436
277	628	434
278	630	431
279	632	429
280	634	426
281	636	424
282	638	422
283	640	419
284	642	416
285	644	414
286	646	412
287	648	409
288	650	407
289	653	405
290	655	402
291	657	400
292	659	398
293	661	396
294	663	393
295	665	391
296	667	388
297	669	386
298	671	383
299	673	381
300	675	379
301	677	376
302	678	374
303	681	372
304	683	369
305	685	367
306	687	364
307	688	362
308	690	359
309	693	357
310	695	355
311	697	353
312	699	350
313	701	348
314	703	346
315	705	343
316	707	341
317	709	338
318	710	336
319	712	334
320	714	331
321	716	329
322	719	327
323	720	324
324	722	322
325	724	320
326	726	317
327	728	315
328	731	313
329	733	311
330	735	308
331	737	306
332	739	304
333	741	301
334	742	299
335	744	296
336	746	294
337	748	292
338	750	290
339	752	287
340	754	285
341	757	283
342	759	281
343	761	278
344	763	276
345	765	274
346	767	271
347	769	269
348	771	267
349	773	265
350	774	262
351	777	260
352	778	258
353	780	255
354	783	253
355	785	251
356	787	249
357	788	246
358	790	244
359	792	242
360	794	239
361	796	237
362	798	235
363	800	233
364	802	230
365	805	228
366	806	226
367	808	224
368	810	221
369	813	219
370	815	217
371	818	215
372	820	213
373	821	210
374	823	208
375	825	206
376	827	204
377	829	201
378	831	199
379	833	197
380	835	195
381	837	192
382	840	190
383	842	188
384	844	186
